lat,lon,postal_code,municipality,province
51.21395164485779,4.241424192342918,9120,beveren,East Flanders
51.14058541231272,5.636412026020706,3960,bree,Limburg
51.24298475318116,3.3526971798341947,8340,damme,Other
50.728569832193,5.741479660950062,4607,dalhem,Liège
50.58522465817122,5.6444051822288746,4050,chaudfontaine,Liège
50.48033204534271,3.647114170315043,7320,bernissart,Hainaut
51.26417701511706,4.508194509964705,2900,schoten,Antwerp
50.22854584280893,4.90622118525634,5500,dinant,Namur
50.19203680336448,4.840733793518568,5542,hastière,Namur
51.00902295258934,5.294774004254104,3550,heusden-zolder,Limburg
50.7523882890417,5.872385566958153,3793,fourons,Limburg
50.83301023422726,5.147664225873109,3803,sint-truiden,Limburg
50.84595525055639,5.336452655385173,3830,wellen,Limburg
51.17815500112932,2.836838059805625,8430,middelkerke,Other
49.80698722514835,5.609961908791544,6860,léglise,Luxembourg
50.57418829736578,3.807936625154383,7950,chièvres,Hainaut
50.47869396859471,4.838488417206432,5002,namur,Namur
50.84309057749016,4.492424812620597,1970,wezembeek-oppem,Flemish Brabant
50.52198496872085,5.385171379484152,4550,nandrin,Liège
50.59212889282027,3.6154793651811903,7900,leuze-en-hainaut,Hainaut
50.65387528143722,4.124926940143261,1430,rebecq,Walloon Brabant
51.229586673387296,4.516867253463567,2110,wijnegem,Antwerp
49.84977519876712,5.240492986044481,6880,bertrix,Luxembourg
50.80458708010642,4.650360859796001,3051,oud-heverlee,Flemish Brabant
50.478874984040665,4.893869705686034,5004,namur,Namur
51.161780043746816,3.810343889705428,9042,gent,East Flanders
50.9399317811508,3.905406164229092,9520,sint-lievens-houtem,East Flanders
50.43277241381592,4.091806919824024,7130,binche,Hainaut
50.49830025259294,3.613561374498213,7603,péruwelz,Hainaut
50.37493720462305,4.024781199341022,7041,quévy,Hainaut
51.20678750787161,4.518952239348571,2160,wommelgem,Antwerp
50.51427419126255,4.120027302711064,7070,le rœulx,Hainaut
51.02869754911989,4.697724012817591,2223,heist-op-den-berg,Antwerp
51.03007676437425,4.468101716569333,2800,mechelen,Antwerp
50.41121198572444,4.899775924422468,5100,namur,Namur
50.50169979774876,4.2454380952875646,7170,manage,Hainaut
51.241515872832345,5.122131871128596,2400,dessel,Antwerp
51.23264600117143,3.2071828570336303,8000,brugge,Other
51.20405430213789,2.920364240174513,8400,oostende,Other
51.04427173501576,2.6418910560283257,8630,veurne,Hainaut
51.121346604412906,2.700626980557324,8670,koksijde,Other
50.73920926750211,2.9191502380038523,7784,comines-warneton,Hainaut
50.546491169184726,4.982835996473257,5380,fernelmont,Namur
50.80891991474512,5.598513740289083,3770,riemst,Limburg
50.74114642464831,5.833251300589162,3790,fourons,Limburg
51.13670159091553,3.136453758123636,8210,zedelgem,Other
51.18656071645014,3.087844865344226,8490,jabbeke,Other
49.686161342951024,5.512110597659552,6730,tintigny,Luxembourg
49.61238072490389,5.653187325004047,6747,saint-léger,Luxembourg
50.84315073709588,5.118295088901426,3440,zoutleeuw,Flemish Brabant
50.97836723301938,4.633056953501904,3150,haacht,Flemish Brabant
51.01216806865579,5.098913716877939,3290,diest,Flemish Brabant
50.22314318428099,5.007105967209664,5561,houyet,Namur
51.230977155710605,5.444661036360133,3910,pelt,Limburg
50.84648981107948,4.023746600967054,9400,ninove,East Flanders
51.054783189174685,5.069536263946347,3980,tessenderlo,Limburg
50.80839107751576,3.4215637822902787,8553,zwevegem,Other
50.99997764926436,3.3374069061288845,8700,tielt,Other
50.99429271970909,4.709198894538122,3120,tremelo,Flemish Brabant
51.19145932067747,4.487687146271747,2150,borsbeek,Antwerp
50.64085582622058,4.259715332494394,1460,ittre,Walloon Brabant
50.54940848302819,5.390638932115777,4480,engis,Liège
50.479293293663225,5.792942482132827,4910,theux,Liège
50.4500706332298,3.817290433716812,7330,saint-ghislain,Hainaut
50.3335869684532,4.796803952608396,5537,anhée,Namur
51.03888355150804,3.8572563876425936,9270,laarne,East Flanders
51.02452070785009,3.9594524507697386,9290,berlare,East Flanders
50.507415279953975,5.6370035682496304,4140,sprimont,Liège
50.28453516713056,6.144925075596327,4780,saint-vith,Liège
51.1851724480689,4.599904016207306,2520,ranst,Antwerp
50.39099245390335,3.800148781807272,7370,dour,Hainaut
50.50207166780633,3.656865761710339,7321,bernissart,Hainaut
50.50753481051892,3.531835179034009,7608,péruwelz,Hainaut
50.6951830376784,4.788379199533981,1315,incourt,Walloon Brabant
50.61824452614199,5.683137791030607,4620,fléron,Liège
49.57175881836431,5.75801069233419,6792,aubange,Luxembourg
50.83983510732439,3.150713565712984,8560,wevelgem,Other
49.7690492821049,5.118811913985813,6830,bouillon,Luxembourg
51.00532033491213,4.748688160616197,3128,tremelo,Flemish Brabant
50.90119406509116,4.279490957617121,1731,asse,Flemish Brabant
51.10306447730407,3.772807392554319,9041,gent,East Flanders
50.666242681486686,5.496600584080928,4431,ans,Liège
50.73709797041671,5.701782207365342,4600,visé,Liège
50.8289802752638,4.292904442200332,1070,anderlecht,Brussels Capital
51.06418889131712,4.514746404462987,2860,sint-katelijne-waver,Antwerp
51.267067940052925,5.07679040926115,2470,retie,Antwerp
51.22543459542968,4.912232894257663,2460,kasterlee,Antwerp
51.06273885075432,4.240558354848952,2890,puurs-sint-amands,Antwerp
51.2119968157408,4.444865773892291,2140,antwerpen,Antwerp
50.819933611266514,4.047828651322145,9402,ninove,East Flanders
51.07386417979972,3.6785357740312903,9030,gent,East Flanders
50.49356069435289,4.321858639805036,6181,courcelles,Hainaut
50.42392561275431,3.820832314996097,7301,boussu,Hainaut
